	X1004V4	X1055V4	X1075V6	X1107V4	C132V8	C161V8	C220V8	C532V8	K003V4	K014V2	Z002	Z003	Z007	Z008	Z010	Z011	Z015	Z017	Z018	Z020
HMDB0030525	0.063518178	0.029068437	0.141031106	0.204055148	0.254916285	0.072808612	-0.161142437	0.182282956	-0.020113024	0.12543404	0.314933512	0.580070484	0.870519708	0.120601119	-0.263325748	-0.275330235	-0.286966132	-0.319022992	0.197417933	-0.005955887
HMDB0030531	-0.755570005	0.091093904	-0.07103946	-0.585521281	-0.393866826	0.143180335	0.720106467	0.033117885	-0.348271948	-1.638373389	0.238153007	0.776785885	1.515663055	0.459630876	-0.521672251	0.064927196	0.150945561	-0.807333141	0.10735882	-0.223121256
HMDB0030542	-0.512202267	-0.672060866	-0.260405059	-0.767776297	-0.23819695	-0.769088864	1.015902645	-0.26173598	-0.032036891	0.026879096	-0.27083891	-0.54768222	-0.696506518	-0.127478357	0.13128006	0.737763459	-0.068029433	0.248516926	-0.264368716	-0.019070333
HMDB0030552	0.289187775	-0.327246579	-0.236523614	1.053608472	-0.230532904	0.666809162	-0.094443732	0.389702183	0.695335826	0.12573825	-0.590676762	-0.423982196	-1.192801911	-0.028650691	0.075214168	0.679562093	-0.284331073	0.594092031	-0.177295943	0.195667774
HMDB0030594	0.559849896	-0.011801651	0.498871583	1.037519215	-0.186838697	-0.146351801	-0.049207025	0.738518672	-0.103402582	-0.384562153	-0.803868346	-0.62754434	-2.059247935	0.245509165	0.496618665	1.254971936	-0.688282274	0.743611506	-0.104580934	-0.306723222
HMDB0030597	-0.292060255	0.629230997	0.094088898	-0.288601433	-0.124657677	-0.334983725	-0.55758479	-0.046781068	0.476648141	-0.284675698	-0.334511187	0.012362641	-0.317401245	0.003535909	-0.084709078	0.305307746	-0.167006036	0.324090363	0.080978176	-0.198214988
HMDB0030630	-0.724354949	-0.588592762	-0.177449765	-0.493116469	-0.017313688	-0.416990416	0.425051106	1.136260461	-0.240414029	-0.966821123	-0.180294832	0.041930501	-0.332369762	0.030450561	-0.007735215	0.234898096	-0.006967961	0.192524573	-0.090038735	0.038108758
HMDB0030655	-0.062043246	-0.106188751	0.115792829	-0.578862981	0.141310107	-0.112348344	1.649853178	-1.422265605	-2.190009553	-0.079990782	-1.593119407	0.269552399	0.883959137	0.407742279	1.073589899	0.126126354	-0.888645901	-1.032210361	-0.149571929	-1.033450076
HMDB0030684	0.364130487	0.672701671	-0.148134827	0.607870055	0.489592459	0.708798423	-0.078026959	0.059871206	0.038967428	-0.01721333	-0.033105369	-0.770899517	0.050129623	-1.152766473	-1.20690701	-1.676878209	0.203366955	1.272657882	-0.042330366	0.56494704
HMDB0030694	0.044089489	-0.418883095	0.562854813	-0.488598296	0.34528556	0.154771132	0.580024087	0.453584988	-0.568803521	0.143849574	0.485690354	0.873251283	1.671470195	0.044307639	-0.312286687	-0.192646969	0.187119485	-0.262804076	0.669920134	-0.372658071
HMDB0030736	-0.183203602	-0.394591085	-0.279246958	-0.151426242	-0.210525109	-2.969641957	0.991654803	-0.268623706	-0.153211446	-0.080258615	1.096747439	1.286516878	1.740393813	0.359615214	-0.395106524	-0.09143935	-0.074409815	-0.577161062	0.173407282	-0.940171441
HMDB0030809	0.448361622	-0.382735797	-0.187386842	0.362562136	0.113832905	0.121172787	0.044355263	-0.045825604	0.129922726	0.480345628	-0.573710508	0.333324156	-0.194995093	0.385742028	0.015117151	0.121056853	-0.280529654	0.002246855	-0.846099094	-0.235200862
HMDB0030869	0.183143388	-0.044881898	0.146714007	0.139932617	0.222247174	-0.0015787	-0.052459459	0.20103742	-0.478216099	0.116407751	-0.076868977	-0.196055478	-0.213180908	0.039810297	-0.198653294	0.128285112	0.096476749	0.191321097	-0.110932792	-0.112618465
HMDB0030879	0.155452815	0.070997484	0.026389942	0.082062724	0.116098666	-0.048482795	0.08938572	0.064108851	-0.059807472	0.021324819	-0.214077769	-0.112195257	-0.27468967	0.0255947	-0.063850683	0.214624898	-0.1335001	0.269845412	-0.036923997	0.027012518
HMDB0030897	0.445009101	0.015586738	-0.939242852	-0.045920247	0.555720654	0.128997377	1.014393672	0.152308656	1.128787027	-0.825820825	0.521986106	0.36757768	2.046728694	-0.655003488	-0.137065344	0.113639301	-0.28492324	-0.46203475	0.187324911	-0.03599341
HMDB0030902	0.247641343	0.648235629	-0.076120466	-0.382267128	0.318098398	0.837698196	0.669866146	0.316360323	0.222361521	-0.429941806	0.58571363	0.162658518	0.553970571	-0.238011913	-0.173539119	-1.015062311	0.218373553	-0.849531808	0.014994481	-0.112094163
HMDB0030924	0.084313936	0.076859514	0.021606489	0.21758657	0.282092158	0.067457482	-0.010373116	0.114251462	-0.069901072	0.007024644	-0.15421422	-0.23433357	-0.378890961	-0.135663465	-0.061143299	0.305005972	-0.276781857	0.12825306	-0.025512816	0.045130021
HMDB0030928	-0.29218183	-0.082959436	0.128489198	-0.311418112	-0.18816646	-0.473122227	0.493374507	-0.009459804	0.079375165	-0.174465513	-0.198302344	-0.300340805	-0.484446292	-0.174676471	-0.07976902	0.386551632	-0.354402123	0.161442508	-0.034390733	0.055578636
HMDB0030974	-0.362720175	-0.507652773	-0.262279929	-0.067307883	-0.092497398	-0.42283115	-0.581332525	-0.270550444	-0.44517589	-0.111822217	0.132099363	-0.566142873	-0.821634639	-0.295557536	-0.153888522	-0.006347986	0.632925883	1.399814034	0.281934726	-0.348482457
HMDB0030975	-0.253205591	-0.238757855	-0.304420722	0.255023419	-1.058230204	-1.180710629	0.702087284	0.043855125	0.387600867	-0.16338466	0.216442267	-1.305695612	-1.190649594	-1.178353366	-0.601288526	0.199923687	-0.222198757	0.519987217	0.090585391	-0.075233272
HMDB0030993	0.275482052	0.034678768	-0.183966622	0.395158705	0.091966172	0.302793465	-0.043728004	-0.506340817	0.287232989	-0.118617784	-0.222961576	-0.149839917	-0.246732786	0.010717914	0.000413602	0.203609271	-0.110483047	0.20901353	-0.035979007	-0.046603202
HMDB0031023	0.61891576	1.147008707	-0.49427664	0.493744175	0.542342021	0.413247254	0.154059544	-0.024577251	0.662918299	-0.753104633	0.314458069	1.676505497	2.00898052	0.284436488	-0.0046066	-0.426208896	-0.036879342	-0.832747632	0.065110812	-0.587950118
HMDB0031024	0.757833403	0.493086815	0.522669508	-0.063642629	0.614011107	0.711790982	-0.027633629	-0.664100628	0.283288936	-0.370407459	0.269070611	-1.147014107	-0.303406994	0.601303899	-0.281636061	-0.672004059	-1.227427517	-0.504853336	-0.883428839	0.332548189
HMDB0031025	-0.25347209	-0.323325501	-1.816388546	-0.890370532	-0.223158605	-0.988622875	1.443230994	-0.181734772	0.005040575	-1.1616968	1.113229991	1.664762829	1.982118092	-0.347955283	-1.182267629	-0.833815645	-0.48206694	-1.331697528	-0.161677826	-0.442162109
HMDB0031027	1.110929562	0.754042545	-0.877667044	1.582279364	0.351482658	0.905440582	-0.782805142	-0.841157635	1.89306084	-0.363020224	-0.893719635	-0.569517205	-2.574238507	1.38281619	-1.121288796	0.69819277	0.850966695	-1.124260229	-0.117924808	-1.476589881
HMDB0031047	-0.166540768	0.113173285	0.050570181	0.060068752	0.109516014	-0.136550901	-0.149071468	0.035630667	-0.133571088	0.059356782	-0.251388798	-0.018560639	-0.37242644	0.016670519	-0.041311462	0.231873174	0.008524065	0.280976064	-0.027316007	-0.156593828
HMDB0031105	-0.082014796	-0.666554858	-0.517083956	0.641359301	-0.025610866	0.242521952	-0.228120577	0.614064718	0.716781596	-0.189990517	0.389663102	-0.136569817	0.350520437	-0.598986317	0.087743006	-0.057678825	0.9862323	-0.899968954	1.038564624	0.14675853
HMDB0031110	0.545946714	-0.234707567	0.088869539	0.473588061	0.885100897	0.225594956	-1.313152747	0.627449505	0.196495275	0.172452811	0.144337374	-0.234061877	0.888152856	0.023157053	-0.62536223	-0.600716041	-0.6748352	-0.493460203	-0.630812944	0.827552137
HMDB0031111	0.012117673	0.63246635	0.188433452	0.162812678	-0.083568206	0.9489588	-0.915143578	1.087651303	0.538282877	-0.374409262	-0.350003017	0.06750569	-0.256845188	0.302714939	-0.201841237	0.746096057	-0.079226571	0.835440381	0.340373305	0.193976428
HMDB0031112	0.326887676	-0.964944422	0.334697151	0.64689775	-0.254820293	0.162266225	0.434785896	-0.444264593	0.615576618	-0.921028395	-0.245987943	1.838174389	1.846937678	-1.202117567	0.127964313	0.176239471	0.810513412	1.044399762	-0.258861347	0.163957788
HMDB0031131	0.535027449	0.702779875	0.586300518	-0.452502844	0.266627581	0.790566439	-0.867679716	0.52668021	0.345221404	0.056649074	-0.237951333	0.064095541	-1.382221166	0.154086285	0.026438283	0.853392389	0.205883751	0.158346222	-0.318497575	-0.017950889
HMDB0031133	-0.016100769	0.165599324	0.051474535	-0.265730296	-0.042852349	0.261644525	-0.020315047	0.143339269	0.145501534	-0.111888715	0.373126525	0.417926952	0.586978826	0.248638815	-0.147114635	-0.102650708	-0.038704221	-0.167112833	0.233091674	-0.186181507
HMDB0031139	-0.826659493	-0.816688741	-0.555566279	-0.543113052	-0.716797957	-0.622745737	0.538148553	0.143357314	0.058964768	-0.362198235	0.825267481	0.633217348	0.931077116	0.498527507	-0.573021553	-0.069966334	0.500678944	0.08503316	0.507107683	-0.405479107
HMDB0031147	-0.218017924	0.130312844	-0.315737143	-0.334210343	0.053433643	-2.009275924	0.932588716	-0.671402863	-0.715618349	0.305115734	0.53906113	0.838270146	1.731133645	0.666056872	-1.125144322	-0.369265184	-0.08609257	-0.169203387	0.395924367	0.309733876
HMDB0031184	0.690005123	-0.243305125	0.403352478	0.543299749	0.366734649	0.477947836	-0.794978772	-0.116277462	-0.033365526	0.247054252	0.332918128	0.399441858	-0.232869962	-0.212909211	-0.380130279	-0.036397478	0.13778696	0.207948349	-0.150540778	-0.215506392
HMDB0031185	0.100588132	-0.04575105	0.182716383	0.173626458	0.130486865	-0.211139069	-0.00893331	-0.020961909	0.023044697	0.119587058	-0.323470367	-0.178539361	-0.493307255	0.070570906	-0.023682205	0.33211784	-0.082597675	0.299837886	-0.063964894	-0.115010322
HMDB0031227	-0.487230683	-0.625190132	-0.981810752	0.096371302	-0.963960951	-0.70915771	1.547358965	-0.86585829	-0.332988861	0.128722946	1.1768755	1.252439428	1.963856446	0.468203443	-0.736443899	-0.908149117	0.036953204	-1.058846242	0.648228936	-0.332637285
